artist,album,track,date
Pyotr Ilyich Tchaikovsky,Mstislav Rostropovich In Moscow - Original Recordings,Variation IV (Andante grazioso),16 Jul 2019 20:37
Pyotr Ilyich Tchaikovsky,Mstislav Rostropovich In Moscow - Original Recordings,Variation III (Andante sostenuto),16 Jul 2019 20:35
Pyotr Ilyich Tchaikovsky,Mstislav Rostropovich In Moscow - Original Recordings,Variation II (Tempo del Tema),16 Jul 2019 20:34
Pyotr Ilyich Tchaikovsky,Mstislav Rostropovich In Moscow - Original Recordings,Variation I (Tempo del Tema),16 Jul 2019 20:33
Pyotr Ilyich Tchaikovsky,Mstislav Rostropovich In Moscow - Original Recordings,Variations on a Rococo Theme Op. 33: Introduction and Theme (Moderato semplice),16 Jul 2019 20:29
Sergei Prokofiev,Mstislav Rostropovich In Moscow - Original Recordings,Cello Sonata in C major Op. 119: III. Allegro ma non troppo,16 Jul 2019 20:22
Sergei Prokofiev,Mstislav Rostropovich In Moscow - Original Recordings,Cello Sonata in C Major Op. 119: II. Moderato - Andante dolce,16 Jul 2019 20:18
Sergei Prokofiev,Mstislav Rostropovich In Moscow - Original Recordings,Cello Sonata in C major Op. 119: I. Andante grave - Moderato animato,16 Jul 2019 20:06
Oval,94diskont.,Do While,16 Jul 2019 19:54
Ekkehard Ehlers,Plays,Plays John Cassavetes 2,16 Jul 2019 19:43
Skee Mask,Compro,VLI,16 Jul 2019 19:37
The Field,Yesterday and Today,I Have the Moon You Have the Internet,16 Jul 2019 19:28
Pan•American,Cloud Room Glass Room,The Cloud Room,16 Jul 2019 19:20
The Black Dog,Music for Real Airports,Sleep Deprivation 1,16 Jul 2019 19:14
The Dead Texan,The Dead Texan,The 6 Million Dollar Sandwich,16 Jul 2019 19:11
Squarepusher,Music Is Rotted One Note,My Sound,16 Jul 2019 19:05
Actress,LAGEOS,N.E.W.,16 Jul 2019 19:00
Tim Hecker,An Imaginary Country,Paragon Point,16 Jul 2019 18:55
The Prodigy,The Fat of the Land - Expanded Edition,Smack My Bitch Up,16 Jul 2019 18:50
Thom Yorke,Anima,Runwayaway,16 Jul 2019 16:45
Thom Yorke,Anima,Impossible Knots,16 Jul 2019 16:41
Thom Yorke,Anima,The Axe,16 Jul 2019 16:33
Thom Yorke,Anima,Not the News,16 Jul 2019 16:29
Thom Yorke,Anima,I Am a Very Rude Person,16 Jul 2019 16:25
Thom Yorke,Anima,Dawn Chorus,16 Jul 2019 16:19
Thom Yorke,Anima,Twist,16 Jul 2019 16:12
Thom Yorke,Anima,Twist,16 Jul 2019 16:07
Thom Yorke,Anima,Last I Heard (...He Was Circling the Drain),16 Jul 2019 16:02
Thom Yorke,Anima,Traffic,16 Jul 2019 15:57
Tycho,Weather,Into The Woods,16 Jul 2019 15:52
Tycho,Weather,Japan,16 Jul 2019 15:49
Tycho,Weather,Pink & Blue,16 Jul 2019 15:44
Tycho,Weather,Easy,16 Jul 2019 15:40
Barricada,Barricada,No Hay Tregua,16 Jul 2019 14:23
Piperrak,Arde Ribera,Mi primer amor,16 Jul 2019 14:20
Morcheeba,Big Calm,The Sea,16 Jul 2019 14:14
Portishead,Dummy (Non UK Version),Glory Box,16 Jul 2019 14:08
Cornershop,Brimful of Asha,Brimful Of Asha (Norman Cook Remix) (Single Version),16 Jul 2019 14:04
Fatboy Slim,You've Come A Long Way Baby,The Rockafeller Skank - Short Edit,16 Jul 2019 13:57
Kortatu,A Frontline Compilation,Sarri Sarri,16 Jul 2019 13:52
Marea,La Patera,Trasegando,16 Jul 2019 13:49
Ms. Lauryn Hill,The Miseducation Of Lauryn Hill,Doo Wop (That Thing),16 Jul 2019 13:44
Moby,Play,Porcelain,16 Jul 2019 13:40
Black Sabbath,Paranoid (2014 Remaster),War Pigs,16 Jul 2019 13:31
Fito Y Fitipaldis,A puerta cerrada,Rojitas las orejas,16 Jul 2019 13:27
Queens of the Stone Age,Songs for the Deaf,Go With the Flow,16 Jul 2019 13:24
The Meters,The Meters,Cissy Strut,16 Jul 2019 13:21
M-Clan,Usar Y Tirar,Llamando A La Tierra - Serenade From The Stars,16 Jul 2019 13:16
Daft Punk,Discovery,One More Time,16 Jul 2019 13:11
Beastie Boys,Hello Nasty (Deluxe Version/Remastered 2009),Intergalactic - Remastered,16 Jul 2019 13:07
Albert Pla,Albert Pla Supone A Fonollosa,El lado mas bestia de la vida,16 Jul 2019 13:01
George Baker Selection,Golden Years of Dutch Pop Music,Little Green Bag,16 Jul 2019 12:58
Berri Txarrak,Libre ©,Kanta goibelak - original,16 Jul 2019 12:55
El Último Ke Zierre,Ay De Mi!,Vuelta al infierno,16 Jul 2019 12:52
Skalariak,Klub Ska,Sólo Vivir,16 Jul 2019 12:47
Massive Attack,Mezzanine,Angel,16 Jul 2019 12:41
Berri Txarrak,Ikasten,Ikasten - original,16 Jul 2019 12:38
Marea,Coces al Aire 1997-2007,El perro verde,16 Jul 2019 12:33
Amparanoia,El Poder De Machín,Que te Den,16 Jul 2019 12:30
James Brown,20 All-Time Greatest Hits!,Papa's Got A Brand New Bag - Pt. 1,16 Jul 2019 12:28
Berri Txarrak,Eskuak/Ukabilak,Ez Dut Nahi - original,16 Jul 2019 12:24
Platero y tú,Correos,Cigarrito,16 Jul 2019 12:20
The Doors,The Doors,Break on Through (to the Other Side),16 Jul 2019 12:17
La Polla Records,Punk Latino Vol. 3,Carne para la picadora,16 Jul 2019 12:14
Andrés Calamaro,Honestidad Brutal,La parte de adelante,16 Jul 2019 12:10
Mano Negra,Patchanka,Mala vida,16 Jul 2019 12:07
Led Zeppelin,Led Zeppelin III (Remastered),Immigrant Song - Remaster,16 Jul 2019 12:03
Reincidentes,Algazara,Vicio,16 Jul 2019 12:00
Rosendo,Loco Por Incordiar,Agradecido,16 Jul 2019 11:56
Ska-P,Eurosis,España Va Bien,16 Jul 2019 11:51
Extremoduro,Agila,So payaso,16 Jul 2019 11:45
995,995,Contra Todos,16 Jul 2019 11:40
Skalariak,Skalariak,Todos Los Hintxas,16 Jul 2019 11:36
Joy Division,The Best Of,Love Will Tear Us Apart,16 Jul 2019 11:32
Radiohead,OK Computer,No Surprises,16 Jul 2019 11:28
Platero y tú,Muy Deficiente,El roce de tu cuerpo,16 Jul 2019 11:25
The wonders,That Thing You Do! Original Motion Picture Soundtrack,That Thing You Do!,16 Jul 2019 11:22
Radiohead,Pablo Honey,Creep,16 Jul 2019 11:18
Oasis,(What's the Story) Morning Glory? [Remastered],Don't Look Back in Anger,16 Jul 2019 11:13
The Who,The Who Hits 50,Join Together,16 Jul 2019 11:08
The Who,The Who Hits 50,Squeeze Box,16 Jul 2019 11:05
The Who,The Who Hits 50,Baba O'Riley,16 Jul 2019 11:00
The Who,The Who Hits 50,Substitute - Single Version,16 Jul 2019 10:56
The Who,The Who Hits 50,5: 15,16 Jul 2019 10:50
The Who,The Who Hits 50,Magic Bus - Mono Version,16 Jul 2019 10:46
The Who,The Who Hits 50,Real Good Looking Boy - Radio Edit,16 Jul 2019 10:42
The Who,The Who Hits 50,Be Lucky,16 Jul 2019 10:39
The Who,The Who Hits 50,I Can See for Miles,16 Jul 2019 10:33
Steppenwolf,Steppenwolf,Born to Be Wild,16 Jul 2019 10:32
Van Morrison,Blowin' Your Mind!,Brown Eyed Girl,16 Jul 2019 10:28
Donato Dozzy,Cavallina EP,Cavallina Matta,16 Jul 2019 10:23
NTHNG,It Never Ends,Abyss,16 Jul 2019 10:13
Ellen Allien,Berlinette,Open,16 Jul 2019 10:07
BOSTON 168,Oblivion,Split String,16 Jul 2019 10:00
Function,Variance,Ghost Echoes,16 Jul 2019 09:52
Robert Hood,Tresor Records 20th Anniversary Mix (Mixed By Mike Huckaby),Chase,16 Jul 2019 09:40
Drexciya,Tresor Records 20th Anniversary Mix (Mixed By Mike Huckaby),Devil Ray Cove,16 Jul 2019 09:37
Shifted,Crossed Paths,Suffocate,16 Jul 2019 09:30
Jonas Kopp,55 Dias,55 Dias,16 Jul 2019 09:23
Recondite,On Acid,Tie In,16 Jul 2019 09:12
Parallx,Rr1,Red Clouds,16 Jul 2019 09:05
Answer Code Request,Main Mode,Main Mode,16 Jul 2019 08:56
Tensal,F-Forma,Forma 5 - Digital Bonus,16 Jul 2019 08:51
Artefakt,The Final Theory,Solaris,16 Jul 2019 08:45
Ben Klock,Before One EP,Subzero - Original Mix,16 Jul 2019 08:38
Surgeon,Klonk,Klonk Pt. 1,16 Jul 2019 08:32
Silent Servant,Negative Fascination,The Strange Attractor,16 Jul 2019 08:27
Etapp Kyle,Sourness,Sourness - Room mix,16 Jul 2019 08:17
Oscar Mulero,Pattern Series Compilation,Particle Repositioning - Original mix,16 Jul 2019 08:10
SHXCXCHCXSH,Shulululu,Shunununu,16 Jul 2019 08:06
Edit Select,Cyclical Undulations,Horizon #1,16 Jul 2019 07:59
Regis,Complete Works 1999 - 2001,It's a Man's World,16 Jul 2019 07:54
Abdulla Rashim,A Shell of Speed,Internal Fall,16 Jul 2019 07:47
Ellen Allien,Nost,Physical,16 Jul 2019 07:39
Planetary Assault Systems,Temporary Suspension,Attack Of The Mutant Camels,16 Jul 2019 07:36
Perc,Interpretations,Rivieradub,16 Jul 2019 07:29
Subjected,Vault Series 8.0,008.B_V1,16 Jul 2019 07:22
Plastikman,Consumed,Contain - Original Mix,16 Jul 2019 07:13
NTHNG,It Never Ends,touches,16 Jul 2019 07:06
Robert Hood,Minimal Nation,SH-101,16 Jul 2019 07:02
Shifted,Crossed Paths,Leather,16 Jul 2019 06:54
Recondite,Realm Of Consciousness Pt. III,Motion,16 Jul 2019 06:48
Answer Code Request,Gens,Ab Intus,16 Jul 2019 06:42
Legowelt,Classics 1998-2003 (A Selection Of Tracks From The Archive Bunker),The Republic,16 Jul 2019 06:37
Tensal,Transmisiones Atlanticas,Atlanticas 2,16 Jul 2019 06:31
Magazine,Real Life and Thereafter / Forum,The Light Pours Out Of Me,15 Jul 2019 22:45
The Feelies,Crazy Rhythms,The Boy With the Perpetual Nervousness,15 Jul 2019 22:39
Half Japanese,Greatest Hits,Firecracker,15 Jul 2019 22:36
Stereolab,Dots and Loops,Brakhage,15 Jul 2019 22:30
Silver Apples,Silver Apples,Program,15 Jul 2019 22:26
This Heat,Fame Jon Savage's Secret History of Post-Punk 1978-81,A New Kind of Water - Edit,15 Jul 2019 22:20
Buzzcocks,Singles Going Steady,What Do I Get? - 2001 Remastered Version,15 Jul 2019 22:20
Orange Juice,Rip It Up,Rip It Up,15 Jul 2019 22:12
The Stranglers,Rattus Norvegicus,Peaches - 1996 Remaster,15 Jul 2019 22:08
The Mekons,So Good It Hurts,Ghosts of American Astronauts,15 Jul 2019 22:04
The Fall,Grotesque (After The Gramme) [Expanded Edition],Totally Wired,15 Jul 2019 22:00
ESG,Come Away With ESG,My Love For You,15 Jul 2019 21:57
Wipers,Over The Edge,Over The Edge,15 Jul 2019 21:53
Japan,Assemblage,Life in Tokyo,15 Jul 2019 21:49
Gary Numan,The Pleasure Principle,Cars,15 Jul 2019 21:45
